1679185,	58782.613512039185,	675.0,	675.0,	551.25,	1075
1697200,	59412.804204940796,	1062.5,	1075.0,	543.125,	1075
1713456,	59932.29337143898,	812.5,	1075.0,	495.0,	1075
1730199,	60469.648819208145,	637.5,	1075.0,	517.5,	1075
1746773,	60983.77516031265,	1075.0,	1075.0,	584.375,	1075
1763971,	61563.64575314522,	812.5,	1075.0,	557.5,	1075
1779911,	62038.68785047531,	1075.0,	1075.0,	546.25,	1075
1795913,	62542.32296323776,	175.0,	175.0,	487.5,	1075
1810489,	62990.70845079422,	812.5,	1075.0,	423.125,	1075
1826592,	63470.33038544655,	825.0,	1075.0,	498.75,	1075
1843392,	64010.00145530701,	575.0,	575.0,	597.5,	1075
1859073,	64484.37508678436,	825.0,	1075.0,	527.5,	1075
1874918,	64963.96572518349,	825.0,	1075.0,	485.625,	1075
1890277,	65487.13281226158,	825.0,	1075.0,	445.0,	1075
1905400,	65943.89641785622,	562.5,	575.0,	504.375,	1075
1920179,	66427.1881723404,	1062.5,	1075.0,	403.125,	1075
1935485,	66956.96265411377,	1075.0,	1075.0,	493.125,	1075
1950650,	67425.41000127792,	387.5,	575.0,	410.0,	1100
1966640,	68005.84340906143,	575.0,	575.0,	401.25,	1075
1981983,	68479.15845108032,	500.0,	575.0,	396.25,	1050
1998486,	68990.82569861412,	812.5,	1050.0,	530.0,	1100
2013272,	69426.51100039482,	425.0,	425.0,	298.125,	1050
2028989,	69925.33800411224,	562.5,	575.0,	392.5,	1100
2043690,	70436.28921985626,	162.5,	225.0,	310.0,	1075
2059125,	70962.14680075645,	387.5,	600.0,	321.875,	1075
2073681,	71407.21065211296,	125.0,	125.0,	325.0,	1050
2091011,	71981.60661506653,	537.5,	575.0,	418.125,	1075
2107940,	72527.96461367607,	325.0,	400.0,	388.75,	1075
2122955,	73094.10730528831,	687.5,	800.0,	333.125,	1075
2139530,	73611.39660477638,	825.0,	1075.0,	391.25,	1075
2154551,	74165.76618123055,	450.0,	450.0,	313.125,	1050
2169634,	74676.06042647362,	1050.0,	1050.0,	475.0,	1075
2185778,	75211.25696372986,	550.0,	550.0,	480.625,	1075
2201720,	75730.05697441101,	1050.0,	1050.0,	414.375,	1075
2216356,	76196.1637494564,	575.0,	575.0,	298.125,	1075
2232936,	76768.89536881447,	1050.0,	1050.0,	528.125,	1150
2247854,	77252.15314054489,	337.5,	550.0,	310.625,	1075
2263208,	77770.8155477047,	175.0,	175.0,	366.25,	1075
2279312,	78302.46693253517,	1075.0,	1075.0,	611.25,	1075
2295225,	78873.91585278511,	1075.0,	1075.0,	399.375,	1075
2309915,	79381.65231823921,	575.0,	575.0,	479.375,	1100
2324968,	79849.38383769989,	537.5,	1075.0,	385.625,	1075
2341909,	80488.39028477669,	1075.0,	1075.0,	555.0,	1100
2358528,	81128.49413394928,	1087.5,	1100.0,	561.25,	1100
2374216,	81722.38492584229,	1087.5,	1100.0,	426.875,	1100
2390130,	82349.62982797623,	837.5,	1100.0,	431.25,	1100
2406540,	82945.99006414413,	1075.0,	1075.0,	573.125,	1100
2421845,	83449.73547148705,	200.0,	200.0,	513.125,	1100
2437342,	83952.17175722122,	1087.5,	1100.0,	447.5,	1100
2453820,	84482.95661854744,	1100.0,	1100.0,	508.75,	1075
2469759,	84999.05110812187,	1075.0,	1075.0,	554.375,	1075
2485956,	85522.64773893356,	1075.0,	1075.0,	581.25,	1075
2502502,	86065.28113222122,	1075.0,	1075.0,	576.25,	1100
